Date and Time deployed (local),Date and Time recovered (local),AudioMoth #,SD card #,Site,Latitude,Longitude,Altitude (m),Duration (HH:MM),# of Files,GB used,Storage Space (GB),Sampling rate (Hz),Gain,Filter,Amplitude threshold,Battery start (V),Battery end (V),Deployer,Upload folder name,Daily Recording Period,Activity Cycle,Activity per Day,Notes
2021-06-03T20:41:00,2021-06-05T09:00:00,1,1,Central Pond,No Valid Info,No Valid Info,No Valid Info,36:19,-,54.4,127.8,384000,Medium,None,None,-,< 3.6 V (Green),AS,recover-20210604_unit1,0:00 - 24:00,Recording: 3595 secs; Sleep: 5 secs,Recording: 1438 min; Sleep: 2 min,Ziploc Bag
2021-06-03T21:23:00,2021-06-05T09:00:00,2,2,Foliage,No Valid Info,No Valid Info,No Valid Info,35:37,-,51.8,127.8,384000,Medium,None,None,-,< 3.6 V (Green),AS,recover-20210604_unit2,0:00 - 24:00,Recording: 3595 secs; Sleep: 5 secs,Recording: 1438 min; Sleep: 2 min,Ziploc Bag
2021-09-08T19:38:00 (2021-09-09T02:30Z),2021-09-12T15:57:00 (2021-09-11T11:30Z),2,1,Carp Pond,47° 39' 17.430'' N,122° 17' 41.658'' W,6.62,92:19 (57),126,39.5,127.8,250000,Medium,None,None,-,< 3.6 V (Green),AK,recover-20210912_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag
2021-09-08T19:19:00 (2021-09-09T02:00Z),2021-09-12T16:14:00 (2021-09-09T23:00Z),1,2,Foliage,47° 39' 19.200'' N,122° 17' 27.738'' W,8.11,92:55 (21),114,102.2,127.8,250000,Medium,None,None,-,< 3.6 V (Green),AK,recover-20210912_unit1,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag
2021-09-15T13:54:00 (2021-09-16T00:00Z),2021-09-20T15:19:00 (2021-09-16T09:30Z),2,2,Foliage,47° 39' 18.282'' N,122° 17' 26.562'' W,7.14,121:25 (9.5),90,27.4,127.8,384000,Medium,None,None,-,< 3.6 V (Green),AK,recover-20210918_unit2,0:00 - 16:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag; First major rain storm of season; Tree fell down; No recordings
2021-09-20T15:38:00 (2021-09-20T23:00Z),2021-09-23T14:05:00 (2021-09-21T08:30Z),1,4,Carp Pond,47° 39' 17.418'' N,122° 17' 40.650'' W,6.09,70:27 (9.5),146,21.4,127.8,250000,Medium,None,None,-,-,AK,recover-20210923_unit1,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag; First days of sunny weather after rain storm
2021-09-20T15:19:00,2021-09-23T13:47:00,2,3,Foliage,47° 39' 18.888'' N,122° 17' 26.340'' W,3.35,70:28,23,0.408,127.8,250000,Medium,None,None,-,-,AK,recover-20210921_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag; First days of sunny weather after rain storm; Weak Batteries
2021-09-23T15:55:00,RECORDING FAILURE,1,4,Carp Pond,47° 39' 17.532'' N,122° 17' 40.690'' W,3.57,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,SD card was formatted to wrong type (not exFAT)
2021-09-23T13:58:00,RECORDING FAILURE,2,2,Foliage,47° 39' 18.522'' N,122° 17' 26.892'' W,6.59,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Unknown error; Possible water interference
2021-09-25T14:15:00,RECORDING FAILURE,1,2,Carp Pond,47° 39' 17.622'' N,122° 17' 40.698'' W,6.99,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Unknown error; Possible water interference
2021-09-30T18:55:00 (2021-10-01T02:00Z),2021-10-04T16:51:00 (2021-10-03T10:30Z),2,4,Foliage,47° 39' 19.110'' N,122° 17' 27.348'' W,42.93 (glitch),93:56 (56.5),203,104.8,127.8,250000,Medium,None,None,-,-,AK,recover-20211004_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag; After midnight rainstorm
2021-10-01T17:07:00,LOST IN POND,1,3,Carp Pond,47° 39' 17.562'' N,122° 17' 40.290'' W,7.08,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Tree fell into the water; unable to recover as of 10/10/2021
2021-10-04T16:58:00,RECORDING FAILURE,2,2,Foliage,47° 39' 18.750'' N,122° 17' 26.532'' W,6.93,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Recording schedule set but clock not set (Red light ON with Green light flashing)
2021-10-10T16:34:00,RECORDING FAILURE,2,2,Foliage,47° 39' 18.528'' N,122° 17' 26.718'' W,8.74,-,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Recording schedule set but clock not set (Red light ON with Green light flashing)
2021-10-15T10:46:00 (2021-10-15T18:00Z),2021-10-21T15:15:00 (2021-10-17T11:30Z),2,2,Foliage,47° 39' 18.918'' N,122° 17' 26.388'' W,6.1,148:29 (41.5),440,78.6,127.8,250000,Medium,None,None,-,-,AK,recover-20211021_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Retrieved two days after batteries died; Solid dataset until Oct 17th 4am PST
